BU_NUM,BU_BCODE,OPSGRP_BCODE,NAME15,NAME40,BU_SUBTYPE_BCODE,TRADING_SDATE,TRADING_EDATE,ESTAB_BRN_IND
175,175,MISC,HERTFORD,Hertford,SUPMKT,04AUG1981,12SEP2017,Y
177,177,NE5,BEACONSFIELD,Beaconsfield,SUPMKT,28SEP1982,,Y
179,179,LSE4,ENFIELD,Enfield,SUPMKT,30NOV1982,,Y
181,181,MS6,GOLDSWORTH PARK,Goldsworth Park,SUPMKT,01NOV1983,,Y
182,182,LSE5,SEVENOAKS,Sevenoaks,SUPMKT,15NOV1983,,Y
185,185,NE4,ST NEOTS,St Neots,SUPMKT,10MAR1987,,Y
197,197,NE5,RUISLIP,Ruislip,SUPMKT,16OCT1990,,Y
202,202,LSE5,BANSTEAD,Banstead,SUPMKT,11DEC1990,,Y
203,203,MS4,RINGWOOD,Ringwood,SUPMKT,06AUG1991,,Y
204,204,NE5,WELWYN,Welwyn Garden City,SUPMKT,12NOV1991,,Y
205,205,NE3,ELY,Ely,SUPMKT,10MAR1992,,Y
206,206,NE5,THAME,Thame,SUPMKT,24MAR1992,,Y
208,208,MS6,CHICHESTER,Chichester,SUPMKT,01DEC1992,,Y
213,213,NE3,SOUTHEND,Southend,F&H,25OCT1994,,Y
214,214,MS3,HENLEY,Henley,SUPMKT,01NOV1994,,Y
215,215,LSE4,FINCHLEY,Finchley,SUPMKT,29NOV1994,,Y
216,216,MS6,GODALMING,Godalming,SUPMKT,15NOV1994,,Y
217,217,MS2,MONMOUTH,Monmouth,SUPMKT,28NOV1995,,Y
218,218,MS3,READING,Reading,SUPMKT,24OCT1995,,Y
220,220,MS2,CIRENCESTER,Cirencester,SUPMKT,21NOV1995,,Y
223,223,NE5,BERKHAMSTED,Berkhamsted,SUPMKT,02DEC1996,,Y
225,225,LSE3,PUTNEY,Putney,SUPMKT,25NOV1996,,Y
226,226,MS5,SALISBURY,Salisbury,F&H,30SEP1997,,Y
229,229,NE3,BILLERICAY,Billericay,SUPMKT,01DEC1998,,Y
233,233,LSE6,HORLEY,Horley,SUPMKT,05OCT1999,,Y
234,234,MS4,OKEHAMPTON,Okehampton,SUPMKT,07MAR2000,,Y
239,239,SE1,WATERLOOVILLE,Waterlooville,SUPMKT,28NOV2000,06SEP2020,Y
240,240,LSE5,BIGGIN HILL,Biggin Hill,SUPMKT,09FEB2006,,Y
324,324,MISC,BANSTEAD,Banstead,SUPMKT,12FEB2009,25NOV2009,Y
580,580,MS6,HORSHAM NEW,Horsham New,SUPMKT,18JUN2015,,Y
595,595,LSE6,HEATHFIELD,Heathfield,SUPMKT,23SEP2015,,Y
651,651,NE3,CAMBRIDGE,Cambridge,SUPMKT,24OCT2000,,Y
653,653,LSE6,HAILSHAM,Hailsham,SUPMKT,05JUL2000,,Y
654,654,LSE6,HYTHE,Hythe,SUPMKT,01JUN2000,,Y
655,655,LSE6,PADDOCK WOOD,Paddock Wood,SUPMKT,31MAY2000,,Y
656,656,MS4,SALTASH,Saltash,SUPMKT,20JUN2000,,Y
657,657,MS4,SIDMOUTH,Sidmouth,SUPMKT,13JUN2000,,Y
658,658,NE3,SUDBURY,Sudbury,SUPMKT,24MAY2000,,Y
659,659,MS3,THATCHAM,Thatcham,SUPMKT,25JUL2000,,Y
661,661,LSE5,WORCESTER PARK,Worcester Park,SUPMKT,21JUN2000,,Y
662,662,NE3,WYMONDHAM,Wymondham,SUPMKT,04JUL2000,,Y
663,663,MS2,CHELTENHAM,Cheltenham,F&H,22OCT2002,,Y
665,665,LSE1,BELGRAVIA,Belgravia,SUPMKT,01APR2003,,Y
667,667,LSE6,TONBRIDGE,Tonbridge,SUPMKT,19NOV2002,,Y
668,668,MS5,CHANDLERS FORD,Chandlers Ford,SUPMKT,26NOV2002,,Y
669,669,MS2,PORTISHEAD,Portishead,SUPMKT,05JUN2003,,Y
671,671,MS5,ROMSEY,Romsey,SUPMKT,20NOV2003,,Y
673,673,LSE3,WANDSWORTH,Wandsworth,SUPMKT,19FEB2004,,Y
674,674,NE3,NEWMARKET,Newmarket,SUPMKT,04NOV2004,,Y
680,680,NE2,SANDBACH,Sandbach,SUPMKT,24JUN2004,,Y
681,681,LSE1,FULHAM,Fulham,SUPMKT,01JUL2004,,Y
682,682,NE4,TOWCESTER,Towcester,SUPMKT,26AUG2004,,Y
683,683,MS2,ABERGAVENNY,Abergavenny,SUPMKT,15JUL2004,,Y
685,685,NE4,HITCHIN,Hitchin,SUPMKT,29JUL2004,,Y
686,686,NE3,SWAFFHAM,Swaffham,SUPMKT,05AUG2004,,Y
687,687,MS1+CI,NEWPORT,Newport,SUPMKT,12AUG2004,,Y
688,688,MISC,BARRY,Barry,SUPMKT,19AUG2004,09JUN2019,Y
689,689,MS6,WORTHING,Worthing,SUPMKT,08JUL2004,,Y
691,691,NE1,OTLEY,Otley,SUPMKT,09SEP2004,,Y
692,692,MS6,FARNHAM,Farnham,SUPMKT,16SEP2004,,Y
693,693,MISC,DARTFORD,Dartford,SUPMKT,23SEP2004,09APR2014,Y
695,695,NE2,SHEFFIELD,Sheffield,SUPMKT,07OCT2004,,Y
696,696,NM3,WOLVERHAMPTON,Wolverhampton,SUPMKT,14OCT2004,31DEC2020,Y
697,697,NE1,WILLERBY,Willerby,SUPMKT,21OCT2004,,Y
699,699,MS1+CI,LICHFIELD,Lichfield,SUPMKT,06OCT2005,,Y
711,711,NE2,WILMSLOW,Wilmslow,SUPMKT,03NOV2005,,Y
727,727,LSE6,LEWES,Lewes,SUPMKT,10NOV2005,,Y
741,741,LSE6,EAST GRINSTEAD,East Grinstead,SUPMKT,24NOV2005,,Y
748,748,NE2,BUXTON,Buxton,SUPMKT,25MAY2006,,Y
753,753,LSE2,ST KATHARINE DK,St Katharine Docks,SUPMKT,01DEC2005,,Y
764,764,LSE3,WEST EALING,West Ealing,SUPMKT,22SEP2005,,Y
765,765,LSE5,HERSHAM,Hersham,SUPMKT,09JUN2005,,Y
101,101,NE3,BISHOPS STORTFD,Bishop s Stortford,SUPMKT,17AUG1993,,Y
102,102,LSE4,BUCKHURST HILL,Buckhurst Hill,SUPMKT,14OCT1986,,Y
104,104,LSE5,EPSOM,Epsom,SUPMKT,11OCT1983,,Y
109,109,LSE5,LONGFIELD,Longfield,SUPMKT,13OCT1992,,Y
110,110,LSE6,CROWBOROUGH,Crowborough,SUPMKT,08OCT1974,,Y
112,112,LSE4,HOLLOWAY ROAD,Holloway Road,SUPMKT,05OCT1993,,Y
115,115,MISC,MILTON KEYNES,Milton Keynes,SUPMKT,08MAR1988,08MAY2013,Y
118,118,MS5,DIBDEN,Dibden,SUPMKT,12AUG1975,,Y
123,123,LSE6,BURGESS HILL,Burgess Hill,SUPMKT,02JUL1991,,Y
125,125,LSE4,TEMPLE FORTUNE,Temple Fortune,SUPMKT,07OCT1937,,Y
135,135,NE3,SAFFRON WALDEN,Saffron Walden,SUPMKT,05NOV1985,,Y
136,136,MISC,EVINGTON,Evington,SUPMKT,05MAY1970,19OCT2010,Y
